,created_at,text,favorite_count,retweet_count
66,2018-11-09 20:06:27,Hydrogenの設定やっと出来たーーーこれでだいぶ捗る気がする。設定終わって使ってみた感じPyCharmからAtom移行ぜんぜんありえる。これで一つのエディター内に全部の開発環境整った。,0,0
67,2018-11-09 18:51:18,Atomでhydrogenの設定、JavaScriptだけ出来て、Python/R/Juliaは出来ないのまじで謎。せめてPythonだけは出来てくれよ。,1,0
68,2018-11-08 13:49:08,はたまた関数のラップをPythonで書きやすいようにしたという理解でいいのか。,0,0
69,2018-11-08 13:31:52,Pythonのデコレータと一般のラッパーって何が違うんだろか。 どっちも返り値加工するみたいな処理をするけども。 ラッパーの方が意味が広いのか。,0,0
70,2018-11-08 13:22:13,デコレータ完全に理解した,0,0
71,2018-11-04 15:56:19,とりあえずPOST受け取って、それがPython上でどんな感じで処理されて、HTMLにどう埋め込まれるのか流れが分かったので自分の中では大きな進捗。,0,0
72,2018-11-04 15:51:56,GoogleAppEngineのチュートリアルのアプリが立ち上がった。ルーティングとかFlaskとJinja2の基本的な仕組みがなんとなく分かってきた(PythonとHTMLのインターフェース？)(なんでデコレータで書けるのか、内… https://t.co/zbA3MPKGAZ,0,0
73,2018-11-03 14:58:36,PythonのstatsmodelとRの統計モデルの書き方、RがめちゃシンプルでPythonごちゃっとしてる。とりあえずPython使いこなせるようにしたいから Rで概要掴んでPythonに直す感じになるかなあ。非効率な気はする。,1,1
74,2018-11-03 14:47:56,PyCharmでソースコードの選択行をコピペ無しでコンソール上で実行できる方法どなたか知りませんか。毎回コピペして実行するのもう嫌だ...コンソール上で実行したい人割といそうな気がする。,0,0
75,2018-11-03 00:39:53,汗だくのソウオウが頭から離れない,0,0
76,2018-10-25 23:40:02,統計学初学者あるある: モーメント母関数が出てくるとその部分を飛ばしがち,0,0
77,2018-10-25 22:04:37,t統計量の分子と分母が独立(標本平均と不偏分散が独立)がな話、教科書にはさらっと書いてあったが、自分が思っていた通りちゃんと証明しないといけないものだった。少しずつ「この式のこの部分は整合性が取れてるか」、「このまま使っていいのか」とかの数学的？な考え方が出来るようになってきた,0,0
78,2018-10-23 23:50:56,正規母集団のみだけど、区間推定・仮説検定のPythonスクラッチちゃんと動いたー,1,0
79,2018-10-21 16:26:08,JupyterLabのキーバインドJSONdで設定するからちとめんどい... tab押さなくても自動補完できるような設定ないんかな,0,0
80,2018-10-21 14:38:42,と御託を並べてみたけど、継続していきます。,0,0
81,2018-10-21 14:32:29,近頃勉強していて、基礎(自分の場合は線形代数と微積分)が固まっていないから応用はまだって考え方は効率的じゃないなと思った。先に進めるの怖いんだけど、ちょっと手をつけてみたら意外と分かるし今までの基礎勉強の知識の使い方、理解度の確認にもなる。(続く),1,0
82,2018-10-21 13:53:43,まだまだだけど進捗。ガウス・マルコフの定理の話。正規線形モデルy=Xθ+ε(ベクトル・行列表記)において、最小二乗解はベクトルXθと観測値のベクトルが最も近くなるような未知母数ベクトルθを定めるものであり、Xの列ベクトルが張る空間… https://t.co/Fv4OEwKY6P,0,0
83,2018-10-21 10:21:45,最良線形不偏推定量完全に理解した。やっと最小二乗法の理解に光が差した。,0,0
84,2018-10-21 08:49:21,素敵な出会い過ぎる &lt;RT,0,0
85,2018-10-20 16:43:51,最近ふと感動したのは、中心極限定理のおかげで正規乱数が一様乱数の標本平均で発生させられること。始めて見たときはそっかーと流したけど最近になってなぜかすげえってなった(単純),0,0
86,2018-10-20 09:19:36,自分は理論よく分からなくても実装してみるスタンスだったけど、知識0からの実装はほぼ時間の無駄だと思った。自分が分からない部分の確認に使っていこう。頭を使わない写経は良くない…理論追いながら頭使って写経していきたい。(機械学習のエッセンス5章だいぶ理解できてない…),2,0
87,2018-10-20 09:03:49,固有値、固有ベクトルと対角化可能性あたりの話が繋がった,1,0
88,2018-10-19 15:56:14,(明日) 内積空間、シュミットの正規直交化、直交行列、対角化・スペクトル分解あたりの知識を体系的に理解すること。特に内積、直交行列の性質、導入の意図を理解すること。,0,0
89,2018-10-19 15:49:39,超個人的な勉強手法として「理解してきたらノートにまとめる」がいい感じ。はじめからぎちぎちにノートにまとめようとするとだいたい理解も進みも遅いことが分かった。,1,0
90,2018-10-19 13:25:57,分布の再生性が必要ってのは、畳み込みのときに同時確率を扱うときに確率の積で表す必要があるからか。２つの変数が無相関のときの同時確率が積で表せない理由ってなんだろ。,0,0
